comment_id,original_comment,aspects,sentiments,confidences,aspect_count
1,btw om saat review performance di game berat itu udah full download belum ntar pas full download gak sesuai review video uji coba malah drop fps,"Camera, BuildQuality, Performance, Design","negative, negative, positive, positive","0.997, 0.996, 0.792, 0.792",4
3,dan saya jadi orang terakhir yg nonton video ini dan memakai samsung a yg sudah berumur tahun,Camera,neutral,0.997,1
6,userhplama ini baru aja dilem ulang kaget juga pas tibatiba lepas search di youtube ternyata banyak yang punya pengalaman serupa sempat kecewa juga tapi ternyata solusi nya gampang jadi ya udah tetap dipakai terus sambil menunggu berharap seri a atau a s ada yang pakai snapdragon lagi,Connectivity,negative,0.990,1
9,body polikarbonat mate tetep bisa jamuran ga sih,"BuildQuality, Security","neutral, neutral","0.749, 0.749",2
14,habis beli samsung a dan apakah layarnya memang agak warm tone warnanya saya bandingkan dengan layar ips warna putihnya beda jauh ips terang s amolednya si a nge warm apakah seperti itu atau bagaimana,"Display, Design","negative, negative","0.853, 0.853",2
17,om deddy saya ada pertanyaan dalam keseharian saya sama teman saya punya samsung a sama cuman beda performa gaming nya perbedaan nya di external sama yg di di lebih stabil performa gaming nya,Performance,positive,0.493,1
18,sd g kok gk bisa ultra di mobile legend,Performance,neutral,0.962,1
20,saya dulu beli a harganya jutaan padahal speknya pelit sekali sekarng speknya tinggi harganya murah lagi,Price,negative,0.997,1
21,kalo menangkap wifi kta nya susah ya,"Connectivity, Network","negative, negative","0.994, 0.994",2
27,tergantung karena serinya banyak dari entry sampai flagship soal performa dan grafis snapdragon masih terdepan,Performance,positive,0.846,1
33,iya rizal gaming moga kmu jadi youtuber fre fair,Performance,neutral,0.691,1
34,buat game fifa grafik ulrta mampu gak,Performance,neutral,0.993,1
36,wooooowwwwwwwww riview nyaaaa sya suka ayo bng teruskn bru x ini dpt chanel yang riview yang bagus melebihi gedgetin tpi syng saya blm tau chanel ini apa bakal bnr bnr jujur ngeriview gedget dengan kelebihan dan kekurangn nya tetap ku pantau saran nya bng harus lebih jujur buat ngeriview gedget smngaaattt,Design,positive,0.707,1
37,tidak butuh highspect cukup standard hardware camera gengsi ui terbaik dan jangan lupa ip rating xiomi oppo realme harga segitu mah lewat,"Display, Software, Design, Price","neutral, negative, positive, neutral","0.938, 0.983, 0.703, 0.696",4
38,kalian ngerasa gasi kl main gem fps kek codm atau pubg analog dn sensinya agk delay,"Display, BuildQuality","negative, negative","0.994, 0.733",2
39,bang test a s game,Performance,neutral,0.796,1
43,kalau test game saya harap pes mobile jg d masukkan,Performance,neutral,0.971,1
45,bang klw dikamera utama utk perekaman video stabilizernya diaktifin ko jdi agak redup ya ketimbang dinonaktifin,"Camera, Audio, Design","neutral, neutral, neutral","0.727, 0.727, 0.994",3
46,min yg klo samsung galaxy a ram tuh ada tidak ram tambahan seperti di samsung a s,Storage,neutral,0.987,1
47,a ini masih aman ya bang untuk main game genshin impact,Performance,neutral,0.986,1
50,apakah fitur ip amat kemasukkan air,Features,neutral,0.962,1
52,berarti gak sama dengan fitur ip ya mas,Features,neutral,0.771,1
53,kudos ke om dedy yg telah uji gaming sky children of the light pada sebuah hp soalnya gaada atau jarang ada reviewer hp lokal yg telah uji gaming dengan game itu paling kl mau tes gaming berat arahnya ke genshin soalnya itu udh pilihan populer drpd sky mungkin wajar sebagai game indie aku udh pernah main sky sejak season of enchantment di mi a dan sky itu udh termasuk game berat tapi sebenarnya ga seberat genshin mudahan ada banyak reviewer hp disini bisa melakukan tes gamingnya yg termasuk sky,"Performance, Design","neutral, neutral","0.791, 0.791",2
55,ada game shadow fight tapi gak di tes,Performance,neutral,0.655,1
57,kalo test game coba tes ledakin tnt di minecraft biar greget,"Display, Performance","neutral, neutral","0.997, 0.995",2
58,sedikit informasi om display quality tidak perlu hd dan ultra tetap jalan y overall mantap review nya om sukses selaluuu d,Display,neutral,0.554,1
59,sekarang pake a gak bg masih bisa ultra gak sekarang abis update nih,Software,neutral,0.778,1
60,dikiwahyudi bisa bang resolusi ultra bisa jalan cuman untuk display quality tetap mentok di belum bisa hd particle quality bisa extreme hfr mode bs aktif di tab battlefield setting uda pindah tempat untuk settingan high frame rate mode nya bukan bersamaan dengan display quality dkk lagi bg,"Display, BuildQuality","negative, neutral","0.995, 0.993",2
63,mungkin ada yg udah pake main pubg a kalo di bawa main pubg menitan itu batrenya habis berapa ya,Battery,neutral,0.962,1
64,spesifikasi samsung a s ip anti aerr guys d cuci bisa layar amoled pasti tajem layar hz pasti smoth camera joss lahkaga ragu chipset snap enteng game jaringannya g pasti ngebut ram bear bisa d plus dual sepeker stereo besar kenceng batrai stand pemakaian ngecas penuh cuman jam cpet ada colokan headset juga bagus dan udah android terbaruwoke soal utama desain udah joss jos siapkan uang lalu belie deh,"Battery, Storage, Display, Design, Features, Software, Performance","neutral, neutral, negative, positive, neutral, positive, negative","0.746, 0.540, 0.822, 0.988, 0.965, 0.963, 0.902",7
65,bang mau saran dong dari sektor kamera lebih bagus mana samsung a vs redmi note pro tolong sarannya ya bang,"Camera, Design","positive, positive","0.945, 0.772",2
68,masih mending redmi note pro chipset mirip layar ok banget walo ips masih ngelawan amoled kelas tengah ngecas cepat baterai awet video playback jam nfc kamera bagus apalagigcam harga sudah murah daily driver saya beberapa bulan ini dari pagi bangun tidur sampai malam tidur lagi masih kuat baterai,"Camera, Connectivity, Battery, Price, Display, Features, Performance","positive, positive, neutral, positive, negative, positive, positive","0.990, 0.963, 0.881, 0.993, 0.803, 0.963, 0.576",7
70,ml waktu war ada drop frame nggk bang,BuildQuality,neutral,0.768,1
71,harga offline sekarang berapa ya yg a dan a plis kasih tau,Price,neutral,0.850,1
